"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2636","Usuario intenta hacer login con credenciales inválidas","","Thu Mar 05 10:09:31 UTC 2026","passed","Thu Mar 05 10:09:34 UTC 2026","","Login en SauceDemo","Usuario intenta hacer login con credenciales inválidas",""
"","2050","Crear un usuario aleatorio correctamente en el sistema","","Thu Mar 05 10:09:26 UTC 2026","passed","Thu Mar 05 10:09:28 UTC 2026","","Gestión de usuarios vía API","Crear un usuario aleatorio correctamente en el sistema",""
"","3163","Bloqueo de login usando usuario real de la API","","Thu Mar 05 10:09:28 UTC 2026","passed","Thu Mar 05 10:09:31 UTC 2026","","Login Híbrido con API y UI","Bloqueo de login usando usuario real de la API",""
